Id,FirstName,LastName,Subject,RoomNumber
7cef21df-99bf-471e-afd8-aab72256ee2b,Jorge,Kub,Geography,T584
806df860-13d4-4dc1-b977-1c77606f43cc,Nakia,Kulas,History,U619
53bbb617-7eb3-4316-8cea-bfb436c64d77,Brown,Luettgen,Chemistry,J703
ec1166af-2a7a-4b46-b9a4-047a54a04877,Elissa,Goldner,History,J072
222a0c52-efd7-4a04-9904-6cfef3f8ffcf,Estevan,Jerde,History,N984
5249ded5-d44b-488e-9838-367e4a2b67a8,Jaylen,Keebler,History,I547
72725b70-5ba2-4435-9bd8-bbbffecc9389,Georgiana,Miller,History,X279
ea6dc88f-b999-4050-b275-9e92f8c733ea,Molly,Tillman,Biology,D719
3b56cb01-7623-4a2d-a9b7-3729dfca3740,Abdul,Daugherty,Biology,K113
561eab3f-408a-4f8f-beb3-77b4d1cc73eb,Kirstin,Walsh,Geography,T168
02a22559-38d1-47fa-96ac-dd558dfe2b90,Johanna,Lockman,Math,N143
99f88e6a-af66-4ab9-86da-90ae1e2fa093,Brad,Purdy,English,T467
7a320b68-98bc-421a-839c-9121fde3a798,Mikayla,Hodkiewicz,Geography,Q123
1e72d1ee-accc-43f6-a215-81c2394c4e7c,Derick,Dietrich,Biology,G255
0ec423b4-f278-4447-8eca-12e73ec0ab58,Lesley,Shanahan,English,B221
08f98650-3873-4694-898c-9c39a1f34ff4,Clotilde,Goodwin,English,M825
6a64a9b6-5d90-46a1-8f08-db26b9ba3211,Doyle,Turcotte,Geography,Z650
79f99032-59f5-4c59-af1e-8d87ccf180ae,Chanel,Goodwin,Chemistry,F729
357d1c6a-cf51-4edd-b719-e171506d3542,Yvonne,Rath,Biology,X238
a01f4ca7-c866-487f-adf0-b7ca62e1e94c,Meaghan,Runte,Biology,E729
26022f2e-cfa7-48d5-8a73-923c110cca20,Bill,Considine,Chemistry,V280
89cd69d2-03a7-41b8-8a0a-4f363f728c9b,Jorge,Berge,History,M253
286aa3e8-d56a-4e26-8974-13c40f8132a9,Mariano,Hilll,English,A181
694c7824-5428-4fba-95f8-7fc8e5b48ecb,Reid,Cronin,History,N387
05aaf131-f42b-4f1b-a218-4b4e16531964,Edgardo,Rogahn,Chemistry,F553
86c52214-7fd2-49f6-b14d-212ffc1ef84c,Jaylan,Keeling,English,N887
86c08561-20f4-491c-9a55-92cd53eadd58,Frank,Rutherford,Chemistry,A642
7dd8ad51-a9de-4f0a-8d5d-4f70192af4c6,Loyal,Stokes,History,W023
44e7c725-51c6-426c-8861-3c4175b03749,Frederic,Johns,Geography,K553
185f6d1a-a0c5-4476-9739-4bf463e8b3b6,Gonzalo,Harris,History,Q931
b3119b65-0115-4e0d-8927-ba40ac4b83be,Sean,Feil,Math,J835
45f4c656-851c-445e-814a-9171a5160dc0,Parker,Howe,Chemistry,J252
b7a01113-cb95-4c71-b5e4-34f96eaa2c18,Shanon,Jerde,History,C701
68d81d6d-6dde-47b9-9f79-4e04b3ba6086,Belle,Schinner,Biology,O545
e45f06f2-b494-49af-b2a3-e5c66a508f6b,Verlie,Kerluke,Geography,V926
bbd85afc-47ad-47f0-89ec-ec8d609ad5d6,Melody,Wisozk,Math,Z181
3564934c-35e7-4f38-90b2-87a75e65759f,Johnathon,Beahan,English,R809
36852f45-14ce-4c8d-a27f-158ca5728814,Armand,Schuster,Math,L695
a4c2fe35-2d67-4bba-9349-812b95fe9a09,Herman,Nader,English,A717
a9bb487d-0208-48c4-95a0-47569edad1ba,Ella,Bauch,Chemistry,G374
64f3a0f4-37bc-4843-a39b-963d4d1e30bf,Mauricio,Cummerata,Chemistry,S187
e3927a39-6af0-4378-92a3-a29c72d51c52,Santa,Hand,History,X592
8545965f-a475-43ce-bcc0-baffd816621c,Billy,Corwin,History,V258
12176d11-5136-45c6-a0c0-20bf4804fe8f,Eden,Torp,History,B361
